content,file,codec,width,height,fps,crf,bitrate,vmaf,psnr
midnight,midnightHEVC_cf40.mp4,hevc,3840,2160,50,40,3996354,22.55413,31.690794750000002
midnight,midnightAVC_cf35.mp4,h264,3840,2160,50,35,12186525,39.520372,33.1882405
midnight,midnightVP9_cf35.webm,vp9,3840,2160,50,35,82033257,91.589947,41.551283375
midnight,midnightAVC_cf17.mp4,h264,3840,2160,50,17,132184318,96.323238,43.33009150000001
midnight,midnightHEVC_cf22.mp4,hevc,3840,2160,50,22,77486640,89.647588,40.8494415
midnight,midnightAVC_cf10.mp4,h264,3840,2160,50,10,279711538,99.978076,47.761021500000005
midnight,midnightAVC_cf23.mp4,h264,3840,2160,50,23,66023354,86.86225,39.717992875
midnight,midnightVP9_cf20.webm,vp9,3840,2160,50,20,179334499,99.027273,46.07930675
midnight,midnightHEVC_cf34.mp4,hevc,3840,2160,50,34,14275702,50.231995,34.35994925
midnight,midnightHEVC_cf15.mp4,hevc,3840,2160,50,15,165075221,97.797732,45.00867875000001
midnight,midnightVP9_cf30.webm,vp9,3840,2160,50,30,112548731,95.496627,43.283317749999995
midnight,midnightVP9_cf25.webm,vp9,3840,2160,50,25,146012548,97.789561,44.81309137499999
midnight,midnightAVC_cf29.mp4,h264,3840,2160,50,29,30442489,68.073883,36.312978625
midnight,midnightHEVC_cf28.mp4,hevc,3840,2160,50,28,36377652,74.591641,37.473116
midnight,midnightVP9_cf15.webm,vp9,3840,2160,50,15,221852404,99.81871,47.39727525000001
